"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M"
"id","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"0500000US36001","Albany County, New York","128284","2411","5.1","1.1","5.1","1.2","6.6","1.4","8.6","1.4","11.0","1.7","16.1","2.0","12.5","1.7","19.1","2.2","8.7","1.2","7.3","1.1","69953","4889","91080","3993","34.7","(X)","(X)","(X)","(X)","(X)","73408","3223","3.2","1.3","2.1","1.1","4.0","1.4","5.1","1.5","8.2","1.7","14.0","2.2","14.3","2.2","24.3","2.6","13.4","1.9","11.3","1.8","98162","5835","114248","5696","(X)","(X)","36.5","(X)","(X)","(X)","52299","2999","0.5","0.4","0.9","0.7","1.4","0.7","2.4","1.1","7.1","2.0","10.9","2.3","15.3","2.9","28.9","3.2","17.3","2.6","15.4","2.5","115978","5221","136778","7637","(X)","(X)","(X)","(X)","(X)","(X)","54876","3160","8.7","2.1","8.4","2.1","11.2","2.6","13.3","2.7","14.8","2.9","19.6","3.0","10.3","2.4","11.1","2.9","1.2","0.5","1.4","0.8","43294","3995","56152","4815","(X)","(X)","(X)","(X)","31.5","(X)"
"0500000US36005","Bronx County, New York","513890","3258","14.7","0.9","8.5","0.9","11.8","0.9","9.1","0.9","12.3","1.0","16.9","0.9","9.6","0.8","10.0","0.7","3.8","0.5","3.3","0.4","41432","1090","59664","1602","41.1","(X)","(X)","(X)","(X)","(X)","311284","5994","10.2","1.0","5.3","0.9","10.5","1.1","8.8","1.0","14.0","1.3","19.1","1.4","11.0","1.1","12.5","1.0","4.6","0.7","4.0","0.5","50835","1342","68747","2371","(X)","(X)","45.9","(X)","(X)","(X)","132050","5420","2.8","0.9","2.9","1.2","6.8","1.3","6.7","1.3","12.4","1.9","20.8","1.9","14.7","1.8","17.4","1.7","8.6","1.4","7.1","1.0","71967","2658","93863","4256","(X)","(X)","(X)","(X)","(X)","(X)","202606","6114","22.9","2.0","13.8","1.5","14.1","1.6","9.6","1.3","11.1","1.4","13.2","1.5","6.9","1.3","5.8","0.9","1.4","0.4","1.3","0.5","24294","1934","40536","2146","(X)","(X)","(X)","(X)","32.6","(X)"
"0500000US36007","Broome County, New York","79309","1979","8.1","1.5","5.6","1.4","11.7","2.0","9.4","1.9","13.7","2.2","17.8","2.2","13.3","1.9","12.2","1.7","4.3","1.0","3.9","1.0","52010","3777","68572","3309","38.1","(X)","(X)","(X)","(X)","(X)","46027","2154","5.8","2.4","3.1","1.5","7.4","2.7","7.1","1.9","11.7","2.2","20.0","3.1","16.8","2.8","16.1","2.5","6.2","1.7","6.0","1.6","67649","4295","83260","4475","(X)","(X)","37.5","(X)","(X)","(X)","33750","2274","1.5","1.3","1.0","0.9","6.3","2.7","5.5","1.7","10.9","2.3","19.0","3.3","19.3","3.4","20.2","3.2","8.3","2.4","8.0","2.1","84510","6779","N","N","(X)","(X)","(X)","(X)","(X)","(X)","33282","1930","12.4","2.8","9.3","2.8","17.4","3.1","13.1","3.1","17.5","4.2","14.6","2.8","7.6","2.7","5.9","1.8","1.2","0.9","1.0","0.7","33244","3436","45579","4112","(X)","(X)","(X)","(X)","36.1","(X)"
"0500000US36009","Cattaraugus County, New York","33056","1001","6.3","1.6","7.8","1.8","11.6","2.0","9.7","1.7","13.4","2.6","19.7","2.5","14.8","2.3","9.7","1.7","4.0","1.2","2.9","1.4","50912","2594","64706","4504","32.9","(X)","(X)","(X)","(X)","(X)","20382","1226","3.6","1.6","3.4","1.7","7.0","2.0","7.6","2.2","15.1","3.6","23.6","3.4","17.6","3.1","13.3","2.5","5.8","1.8","3.2","1.3","62243","3656","75440","3569","(X)","(X)","31.3","(X)","(X)","(X)","15436","1139","1.4","1.0","0.9","0.8","4.9","1.9","6.9","2.5","12.5","2.7","25.5","3.8","20.7","3.9","16.0","3.2","7.1","2.4","4.1","1.8","72152","6642","N","N","(X)","(X)","(X)","(X)","(X)","(X)","12674","1110","12.5","3.5","14.8","3.8","18.5","4.1","13.1","2.7","11.6","3.5","14.3","3.7","8.3","2.8","3.9","2.0","0.5","0.7","2.3","2.8","28057","4484","45145","11326","(X)","(X)","(X)","(X)","34.5","(X)"
"0500000US36011","Cayuga County, New York","31489","1126","5.9","1.7","3.5","1.8","9.2","2.5","7.8","1.7","15.2","2.8","19.6","2.9","14.2","2.7","13.8","2.2","7.4","1.9","3.3","1.1","58665","4419","78177","4726","37.5","(X)","(X)","(X)","(X)","(X)","19199","1148","2.0","1.3","3.0","2.0","7.2","3.1","6.2","1.7","11.7","3.0","19.1","3.2","21.0","3.9","18.3","3.2","7.8","2.2","3.8","1.5","75578","7656","90619","6502","(X)","(X)","36.4","(X)","(X)","(X)","13247","1103","1.2","1.1","1.2","1.3","2.2","1.2","4.5","1.9","9.0","2.7","20.6","4.0","21.2","4.0","24.3","4.2","10.6","3.1","5.2","2.0","86644","5038","N","N","(X)","(X)","(X)","(X)","(X)","(X)","12290","1179","14.2","4.4","7.2","4.0","12.9","4.4","10.2","2.9","18.3","4.9","18.6","5.1","5.8","2.3","4.9","2.6","6.1","3.4","1.9","1.2","39353","3875","53840","6864","(X)","(X)","(X)","(X)","34.8","(X)"
"0500000US36013","Chautauqua County, New York","55345","1629","8.9","1.6","6.5","1.5","13.9","2.3","8.2","1.6","12.4","1.9","16.3","2.1","11.9","1.7","15.1","2.0","4.5","1.2","2.6","0.9","50272","2689","65136","3025","34.1","(X)","(X)","(X)","(X)","(X)","32043","1978","3.2","1.5","3.9","1.7","7.1","2.5","7.0","1.7","11.1","2.0","21.0","3.0","16.2","2.6","20.1","2.7","6.6","1.8","3.8","1.4","69181","4212","81271","3957","(X)","(X)","36.2","(X)","(X)","(X)","23372","1597","0.9","0.8","0.8","0.6","1.8","1.1","4.9","1.6","12.1","2.4","21.5","3.6","18.3","2.8","25.8","3.3","9.0","2.5","4.9","1.7","84305","7144","N","N","(X)","(X)","(X)","(X)","(X)","(X)","23302","1826","17.8","3.5","10.6","2.8","22.3","4.9","10.2","2.5","14.7","3.7","11.8","3.1","5.1","2.0","5.2","2.7","1.5","1.3","0.8","0.8","24628","2637","39930","4829","(X)","(X)","(X)","(X)","29.9","(X)"
"0500000US36015","Chemung County, New York","33490","1396","8.8","2.7","3.8","1.4","8.0","2.1","8.2","2.2","12.6","2.9","20.5","3.4","14.2","2.9","15.7","3.0","5.5","2.0","2.9","1.2","60782","5361","73297","5559","35.4","(X)","(X)","(X)","(X)","(X)","20850","1550","3.0","2.3","2.3","1.4","6.5","2.8","7.3","2.6","11.1","3.3","22.9","4.1","15.4","3.8","20.9","4.3","7.7","3.0","2.8","1.6","70078","5227","84277","6927","(X)","(X)","37.8","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","87204","6023","N","N","(X)","(X)","(X)","(X)","(X)","(X)","12640","1579","18.8","6.7","7.4","2.9","15.0","3.7","12.1","5.0","13.7","4.3","14.2","4.4","9.4","4.2","5.9","2.7","0.6","0.8","3.0","2.1","32029","5555","49261","8215","(X)","(X)","(X)","(X)","29.2","(X)"
"0500000US36019","Clinton County, New York","31422","1523","9.4","2.7","3.3","1.2","7.4","2.5","8.9","2.3","11.5","3.0","21.9","4.1","14.7","2.8","13.1","2.9","6.9","1.9","2.9","1.3","60198","5044","81738","16036","33.4","(X)","(X)","(X)","(X)","(X)","18148","1525","7.3","3.5","0.9","0.6","2.2","1.4","5.4","3.0","8.3","3.3","24.3","5.4","18.9","3.6","19.0","4.3","9.4","3.2","4.3","2.1","78004","8727","104381","27802","(X)","(X)","30.2","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","87147","6708","N","N","(X)","(X)","(X)","(X)","(X)","(X)","13274","1520","13.0","4.2","7.0","2.8","14.6","5.2","14.6","4.7","17.0","5.3","19.3","6.0","9.4","4.4","2.9","2.3","1.4","1.4","0.9","0.9","35514","5834","46498","7145","(X)","(X)","(X)","(X)","36.6","(X)"
"0500000US36027","Dutchess County, New York","110529","2070","4.7","1.2","3.4","1.0","7.5","1.6","6.8","1.1","8.1","1.4","15.1","2.1","11.2","1.4","20.1","2.3","10.5","1.3","12.7","1.3","85901","4980","112299","5401","38.7","(X)","(X)","(X)","(X)","(X)","72749","2918","2.4","1.2","0.7","0.4","4.3","1.4","5.4","1.6","7.3","1.6","13.1","2.4","12.0","2.0","24.2","2.8","13.7","1.7","16.9","1.9","107176","6301","134373","7722","(X)","(X)","41.0","(X)","(X)","(X)","55529","2532","1.5","1.1","0.7","0.5","2.5","1.2","3.9","1.5","5.1","1.3","10.5","2.4","12.1","2.1","27.5","3.1","15.7","2.1","20.5","2.2","123023","4358","N","N","(X)","(X)","(X)","(X)","(X)","(X)","37780","2887","9.9","2.6","8.4","2.7","14.1","3.3","9.5","2.1","10.7","2.5","18.6","3.6","9.0","2.0","12.1","3.9","4.4","1.9","3.3","1.3","45494","6772","65727","7624","(X)","(X)","(X)","(X)","33.1","(X)"
