"","job_title","location","company_name","job_info"
"1","Data Scientist – Research and Analytics Department (NYC)","New York, NY 10005 (Financial District area)","Attorney General, Office of the","Advanced degree in computer science, mathematics, applied statistics, physics, engineering or similar disciplines with demonstrated research capability or bachelor’s degree and equivalent experience and training;Experience with the following technologies:o Programming, scripting and statistical languages (e.g. Python, R, use of dataframes)o Data visualization software (e.g. Tableau, d3, plotly, matplotlib, bokeh)o Relational databases and advanced SQL queriesExcellent oral, written, and presentation communication skillsAbility to communicate technical concepts and results to a non-technical audienceHighly organized, self-directed, and curiousPersonable and positive, with a high level of integrityInterest in public policy and social/economic justiceCandidates with additional experience in any of the following are preferred:o 2+ years demonstrated qualitative, quantitative or investigative research abilities;o Git/github and linux command line toolso Graph databases (e.g. Neo4J)o Cloud, distributed and container computing platforms (e.g. AWS, Redshift, EC2, docker)o Machine learning frameworks (e.g. supervised and unsupervised methods such as neural networks, random forests, and generalized linear models)o Analyzing social networks (e.g. Facebook, Twitter, Instagram)o Natural Language Processing or Entity ResolutionDuties DescriptionGoalThe Research and Analytics Department in the Office of the New York State Attorney General (OAG) is seeking candidates for a full-time Data Scientist position to explore datasets, develop new databases, and use predictive modeling to detect anomalies in information pertinent to OAG investigations. The goal of the data scientist at the OAG is to ensure that our most complicated cases and policy arenas have the benefit of advanced analytical tools to understand how otherwise elusive trends can be laid bare once we dive into the underlying data.PurviewAs part of an innovative team housed in the Executive Division, you will work with senior staff and divisions through the OAG to support the OAG's major initiatives, investigations, and policy development. Our team researches and writes analytical reports garnering national attention, directs multi-million dollar grant programs, and supports the office’s major investigations. See for example Target on Trafficking and Ticket Sales Report. Utilizing a vast collection of public and confidential information, you will work with data covering the breadth of the OAG’s purview building advanced analytic tools to inform investigations that affect the lives of all New Yorkers.Employing over 1,700 people across New York State, the OAG is both the “People's Lawyer” and the State's chief legal officer. The Data Scientist will support OAG work in numerous legal and regulatory arenas, including protecting the rights of investors and consumers, coordinating state-wide criminal investigations, promoting civil rights, economic and social justice, encouraging harm-reducing public health strategies, and preserving the State’s environment. The OAG also advises the Executive branch of State government and defends actions and proceedings on behalf of the State.Responsibilities:The OAG has a rich source of public and confidential data. The Data Scientist will be primarily responsible for:Exploring and analyzing dataCommunicating findings through written reports and visualizationsAdditional responsibilities may include:Developing predictive modeling to detect anomaliesDeveloping or programming new databases or data toolsPerforming other duties as requestedAdditional CommentsOAG employees serve more than 19.85 million state residents through a wide variety of occupations. We offer a comprehensive New York State benefits package, including paid leave, health, dental, vision and retirement benefits, and family-friendly policies. As an employee of the OAG, you will join a team of dedicated individuals who work to serve the people of our State.Candidates from diverse backgrounds are encouraged to apply. The Office of the Attorney General is an equal opportunity employer and is committed to workplace diversity."
"2","Junior Data Scientist","New York, NY","Decode_M","About UsDecode_M is a new kind of insights and strategy firm. We Decode Data into Momentum™ for individuals, organizations and movements. This means, for each client in our diverse portfolio (think Estee Lauder Companies, Airbnb, WeWork, Brooklyn Brewery, the NHL), we use wide-ranging data sources to diagnose what’s most in the way of our clients’ ambition and then advise them on how to move forward.We’re a tight-knit group that’s sharp, a little quirky and extremely collaborative. And we’re big fans of lunch. Seriously. We love a good lunch.The OpportunityWe’re actively looking to recruit a Junior Data Scientist with 1-3 years of experience who, among other things, can support the team in developing scalable data solutions for the team and our client challenges. This position, based in New York City, requires a strong interest in digital, analytics, data science, and quantitative and qualitative research, a natural curiosity, an eagerness to dive into the deep end, and a hunger to learn and grow while having a blast. Expect to learn a lot about cool companies, new products, and the latest in digital, analytics, research and strategy.Who You AreYou’ve solved a difficult or time-intensive problem by writing a quick programYou’ve used an API to get data into or out of your favorite web appYou’ve optimized a SQL query in order to make it run fasterYou’ve conducted statistical analyses outside of an academic settingYou know your way around R, pandas, and numpyYou’ve built a web dashboard to automate data analysis and visualization (preferably using Flask)You’ve deployed supervised and unsupervised machine learning models (preferably with Scikit-Learn)If this sounds like you… keep reading.What You'll DoBuild Data Tools: Extract data from social media, online reviews, mainstream media sites, search, web traffic, etc. to uncover intelligence around growth opportunities and business challenges.Improve our Statistical Knowledgebase. Advance our capabilities for how statistics and machine learning should be used in analyzing digital trends, CRM data and quantitative research.Develop Custom Viz. Transform data and insights into compelling and creative visualizations.Scale our Data Solutions. Creatively identify opportunities in our process for scalable applications, and collaborating with others to construct these tools.Be a part of the Team. Support the creation of of client materials and other deliverables, and help anticipate what's needed next. Look for bumps in the road and know when to raise your hand for help.Help us grow. Be on alert for new business opportunities, with existing clients and potential ones. Tap into your experience and passions to come up with ideas, or ask thoughtful questions that encourage ideas, to drive our continued growth.Skills/QualificationsYou are proficient with Python, R, SQL, and Microsoft Excel; you have experience working with APIsYou have experience using applied statistics, and you’re comfortable working with imperfect dataYou are an autodidact, who loves to figure out solutions to problems by diving deep into Stack Overflow (or your preferred resource)You are curious, inquisitive, proactive, organized, and methodical. You like to use substantiated data to both identify and solve problems, rather than trust your gut aloneYou have an understanding of qualitative and quantitative research and/or digital analyticsYou have strong communication and writing skillsYou have the ability to juggle multiple priorities and pay attention to details when things are moving quicklyWhat You Can Expect From UsWe go beyond providing a competitive salary and benefits. We want our people to be successful – in work and in life. From on-the-job learning to formal classes, seminars, and online courses, we’ll invest in you and we’ll help you grow. Promise.We’re an equal opportunity employer. We embrace diversity and are committed to creating an inclusive environment for all our employees.How To ApplySend your resume and a cover letter to jobs@decode-m.com."
"3","Data Scientist","New York, NY","AIPlus Hiring Partner","This is a post on behalf of AIPlus hiring partner.Submit resume via https://bit.ly/2EYBkX1 for consideration and potential matches to other opportunities.Apply with Job ID # 100005 Currently seeking Data Scientists to help grow a platform to bring automation and simplicity to audience-based TV buying, for both local or national campaigns, in a single interface.The ideal candidate has experience building models and using their outputs for decision support. We use languages and tools including Python, R, and Spark coupled with managed cloud services like AWS, EMR, and Redshift.ESSENTIAL FUNCTIONS:Create and improve various forecasting models (audience, reach & frequency, inventory, demand, etc.)Create and improve various optimization schemes (proposals, cross screen planning, etc.)Collaborate with teams to help rationalize and optimize the business and identify opportunities for further growthEvaluate internal and external data sets for model and process improvementDesign experiments to test hypotheses, measure the results, and find ways to improve outcomesEDUCATION, SKILLS AND EXPERIENCE:Ability to communicate and collaborate with stakeholders across Ampersand and to present clear oral and written argumentsDegree in quantitative field like math, statistics, operations research, economics, or physicsAdvanced degree or equivalent experience preferred4+ years of experience as a data scientistAdvanced knowledge of one or more of these:Modern statistical methodsMachine learningBayesian methods (preferable)Fluency in Python or RSolid SQL abilitiesExperience using version control (git), interactive computing, data visualization libraries, e.g. Jupyter, matplotlib, ggplot2, bokehSpark experience nice-to-have but not requiredBENEFITS: Competitive salary plus benefits package including medical, dental, & vision plans, (PTO) paid time off, 401K, & tuition reimbursement.The Company is an equal opportunity employer, and proud to be committed to diversity and inclusiveness. We will consider all qualified applicants without regard to race, color, nationality, gender, gender identity or expression, sexual orientation, religion, disability or age.Submit resume via https://bit.ly/2EYBkX1 for consideration and potential matches to other opportunities.Apply with Job ID # 100005Job Type: Full-timePay: $80,000.00 - $150,000.00 per yearBenefits:401(k)Dental insuranceHealth insurancePaid time offTuition reimbursementVision insuranceSchedule:Monday to FridayThis Company Describes Its Culture as:Detail-oriented -- quality and precision-focusedInnovative -- innovative and risk-takingAggressive -- competitive and growth-orientedOutcome-oriented -- results-focused with strong performance cultureTeam-oriented -- cooperative and collaborativeWork Remotely:Temporarily due to COVID-19"
"4","Data Scientist","New York, NY 10011 (Chelsea area)","7Park Data","The Data Scientist will be joining a team of extremely passionate data scientists, product managers, and engineers who share a common interest in tackling some of the most difficult data science and machine learning problems today. With the data products you design, 7Park will arm influential decision-makers at financial and corporate giants with critical information they need to make smart, data-driven decisions. Our technologies and data power the insights for financial services and corporations.The compensation package includes a competitive salary and incentive structure, generous benefits, and valuable business experiences, challenges, and excitement of contributing to the success of a fast-growing technology startup.As Data Scientists at 7Park Data, we design and build data products that provide rich intelligence on real-time economic activity for our financial and corporate clients. To do that, we research and develop machine learning systems to extract decision-ready insight from massive volumes of structured and unstructured data.Responsibilities:Building, testing and maintaining all the components of 7Park Data’s product pipelines:o Developing the transformation and enrichment logic that prepares messy, incomplete and inconsistent data for analysiso Applying statistical modelling techniques to produce signals and packaging them in a client-consumable outputWork with 7Park Product and Commercial teams to understand business requirements, and their context, then translate them to a technical plan of action.Evaluate new vendor data as part of our data acquisition process, form opinions on its future business value and the likelihood of success, and ultimately communicate findings to stakeholders at all levels of seniorityCollaborate with our Financial Research team to investigate hypotheses, produce commentaries and analyses on market trends, as well as refining new and existing productsWork with Product Managers at a strategic level to plan product roadmaps, recommend new products or enhancements, as well as estimating and prioritizing work. Ensure alignment of day-to-day activity with the overall product strategyDevelop systems to monitor the analytical quality of production models to discover anomalies, following through to investigation and resolutionCreate technical documentation for both internal and external technical audiences, as well as contributing to client-facing content for non-technical audiencesRequirements:3 – 5 years of relevant professional experience in an autonomous data analytics or data science roleMaster’s degree or PhD in computer science, mathematics, statistics, physics, computational finance, or a similar quantitative field (or relevant work experience)Knowledge of statistics, computer science and machine learningStrong programming skills in Python (highly preferred), R, and/or ScalaStrong proficiency with Pandas and Scikit-LearnExperience with building distributed data pipelines using PySparkExperience with several of the following concepts: decision trees, random forests, gradient boosting; linear regression; logistic regression; dimensionality reduction using PCA and clusteringComfortable with general SDLC concepts and processesResults-driven attitude with a strong desire to build data products and achieve results that matter- for us and for our clients. We come to play and play to win.Deeply held conviction for the power of data, with high analytical standards and surgical attention to detailFearlessness in the pursuit of process improvement, implementation, and changeFlexibility and willingness to adapt to the changing demands of a fast-paced startup environmentSolutions oriented approach and multi-dimensional problem solvingHighly self-motivated and results oriented, proven track record of exceeding goalsCommitment to success and willingness to put forth the effort to achieve itStrong written and verbal English communication skills – ability to communicate complex ideas simply and accurately to technical and non-technical audiences"
"5","Data Scientist","New York, NY 10119 (Chelsea area)","Biz2Credit Inc","Job DescriptionAbout the Role: This is a rare opportunity to join a small but fast-growing team, where you will play a major role in shaping Biz2Credit?s future. We?re looking for an exceptional candidate that is excited about the opportunity to build a next-generation financial services business. We believe that there is a tremendous opportunity to leverage cutting-edge data science to inform smarter, faster decision making.As a Biz2Credit Data Scientist, you will shape the company?s data-centric culture, work closely with our engineering team to develop our analytics infrastructure, and collaborate closely with our Chief Data Officer on developing, validating, and automating our customer conversion and underwriting models. While a background in financial services is not required, you must be passionate about tackling complex data challenges for the benefit of small and medium businesses everywhere.YOU WILL:Drive the ongoing advancement and refinement of Biz2Credit?s credit decisioning & pricing model - optimizing risk and return while dramatically reducing decision cycle times.Continuously evaluate alternative data sources and structures to document and improve the efficacy of our customer conversion models and processes.Harness the power of Biz2Credit?s technology to proactively identify emerging risks as well as opportunities with our customers.Play a leadership role in the design and implementation of ongoing operational and risk reporting and analytics.Work on data projects and proposals involving Biz2Credit?s financial services partners worldwide (banks, non-banks, debt investors, equity investors and others) to analyze, classify and visualize credit-related data.WE'RE LOOKING FOR SOMEONE WITH:Degree in Statistics, Applied Mathematics, Engineering, Computer Science or other quantitative fields from leading university; Advanced degree preferred.2- 4 years experience performing quantitative analysis within self-directed roles.Practical hands-on experience in the development and implementation of new predictive models and comfortable in learning new statistical tools and techniques.Ability to visualize and communicate sophisticated data and models to all audiences.Specific demonstrated experience, knowledge, accuracy and speed of execution in Powerpoint, Excel, Excel VBA and R (knowledge of other programming knowledge and/or Stata is a plus) Highly motivated, versatile, capable of working independently with demonstrated initiative."
"6","Sr. Data Scientist, Member Services Analytics","Brooklyn, NY 11201","Etsy","Company DescriptionAs an Etsy employee, you can do the work you love, be yourself, and make an impact in the lives of millions. Our commitments to diversity and inclusion, team culture and the spaces where we work all reflect our mission to keep commerce human.Job DescriptionData scientists at Etsy use refined methods to generate insights that advise business, engineering, and product decisions across the company. We collaborate with partner teams through all stages of development: providing insight into current performance via clear metrics and dashboarding, actively uncovering opportunity areas, crafting novel analyses and experiments to test hypotheses, analyzing the impact of our efforts, and highlighting takeaways.Learning new skills and techniques is not only a requirement but a perk of the job; we are always looking for opportunities to grow. Our mission is to enable our partner teams with metrics focused decision frameworks and resources, and tell the story of we attract, retain, and support our buyers and sellers — to teams, to senior management, and to the community.In this role, you would partner closely with our Member Services team. Our Member Services team furthers Etsy’s mission to keep commerce human by providing world-class customer support to buyers and sellers and maintaining marketplace health. Data scientists enable this effort by delivering clear insights using industry-leading measurement techniques, and providing access to metrics, data, and tools needed for decision-making and optimization at all levels of the organization.This role is located in Brooklyn, NY and is part of our Analytics and Strategic Finance team.About the Role:Transform raw data into impactful analysis characterized by strong data governance/documentation, advanced techniques, and strong recommendationsPlay a foundational role in deciding how we can improve Etsy customer support by identifying and helping execute on opportunities for improving operational efficiency and Etsy’s support experience through analysis of team workflow, customer support (email, phone, chat) and transactional dataPartner with Member Operations management; clearly present analyses that shed light on the customer support experience, identify high-impact opportunities for improvement, and drive teams' decision-makingIdentify critical metrics to understand the performance of the ongoing processes and new initiatives, develop reporting dashboards to track progress, and ingrain these metrics into teams’ day-to-day decision-makingOccasionally lead support-focused experimentation tracks, help teams set strong hypotheses, and deliver robust analysis of experiment resultsContinually evaluate and refine your technical toolkit; teach what you learn to the teamQualificationsAbout You:3-5 years experience as a data analyst/scientist or in a quantitative role in which you extracted meaning from big data sets with little engineering supportProficient in SQL and have familiarity with either R or Python. Bonus points for experience with additional scripting languages (Spark, PHP, Ruby, etc.)Experience with Looker, Tableau, or other data visualization software a plusPursue opportunities to advance your technical skill set and to apply new methods to impactful questionsCommunicate insights verbally, visually, and in writing and care deeply about the quality and integrity of your workCurious, independent, analytically-minded individual who enjoys thinking about and solving complex and nuanced problemsCommitted to reproducible work and have picked up tools to this end; you can teach others how to make their own work better and more efficientPassionate about subjects such as data visualization, metric focused decision frameworks, and statistical analysis techniquesUnderstanding of the principles of A/B testing, and methods for crafting and analyzing experiments a plusExperience supporting member support focused organizations a plusAdditional InformationAt Etsy, we believe that a diverse, equitable and inclusive workplace makes us a more relevant, more competitive, and more resilient company. We welcome people from all backgrounds, ethnicities, cultures, and experiences. Etsy is an equal opportunity employer. We do not discriminate on the basis of race, color, ancestry, religion, national origin, sexual orientation, age, citizenship, marital or family status, disability, gender identity or expression, veteran status, or any other legally protected status. We will ensure that individuals with disabilities are provided a reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. While Etsy supports visa sponsorship, sponsorship opportunities may be limited to certain roles and skillsets."
"7","Senior Data Scientist","New York, NY 10003 (Greenwich Village area)","Northwestern Mutual","At Northwestern Mutual, we are strong, innovative and growing. We invest in our people. We care and make a positive difference.Northwestern Mutual Life Insurance Company - 41 E. 11th Street Floor 2 New York, NY 10003Job Title: Senior Data ScientistJob Description: The Senior Data Scientist at Northwestern Mutual Life Insurance Company in New York, New York will develop prototype solutions, mathematical models, algorithms, machine learning techniques, and robust analytics to support analytic insights and visualization of complex data sets for productization and monetization. Drive innovation by exploring new experimentation methods and statistical techniques that can sharpen or speed up our product decision-making processes. Develop and deploy testing hypotheses. Analyze test results, providing the necessary analytical rigor to ensure data quality, consistency, repeatability, and accuracy of insights. Incorporate statistical knowledge and intuition, utilizing in A/B testing. Utilize experience with distributed databases and query languages like Hive, Spark, Scala, or Pig. Work with scripting languages such as Python, Perl, Java, or Ruby. Use statistical analysis tools such as R or SAS. Apply machine learning experience. Provide a story with data, including analysis results, project what business should do next and evidence what is happening. Collaborate with others to make business recommendations. Utilize time and project management skills, manage detail work and communicate project status effectively to all levels. Salary $129,048 per year.Minimum Requirements: Master's degree in Data Science, Statistics, Mathematics, Operations Research, Computer Science, Econometrics, or related field plus four years of business analytics experience. Four years of experience must include four years of experience with each of the following: (1) statistical analysis utilized in A/B testing; (2) distributed databases and query languages including Hive, Spark, Scala, or Pig; (3) programming experience with a scripting language including Python, Perl, Java, or Ruby; (4) at least one statistical analysis tool (R or SAS); (5) Relational and columnar data experience required with SQL; and (6) developing data and algorithm-based products with machine Learning.Interested candidates send resume to katiepeskie@northwesternmutual.com. Reference code 115 in the subject line. Contact Katie Peskie katiepeskie@northwesternmutual.com for details or questions about the position.This notice is being posted in connection with and as a result of the filing of an application for permanent alien labor certification for the above-described job opportunity. Any person may provide documentary evidence bearing on the application, with information on available workers or information on wages and working conditions, to a Certifying Officer of the U.S. Department of Labor, whose address is as follows: Certifying Officer U.S. Department of Labor Employment and Training Administration Atlanta National Processing Center Harris Tower, 233 Peachtree Street, N.E., Suite 410 Atlanta, Georgia 30303 (ph.) 404.893.0101 (fax) 404.893.4642This job is not covered by the existing Collective Bargaining Agreement.Grow your career with a best-in-class company that puts our client’s interests at the center of all we do. Get started now!We are an equal opportunity/affirmative action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender identity or expression, sexual orientation, national origin, disability, age or status as a protected veteran, or any other characteristic protected by law."
"8","Data Scientist","New York, NY 10010 (Flatiron District area)","White Ops","At White Ops, we are all about keeping it human. We are the global leader in bot mitigation. We protect more than 200 enterprises—including the largest internet platforms—from sophisticated bots by verifying the humanity of nearly one trillion online interactions every week. The most sophisticated bots look and act like humans when they click on ads, visit websites, fill out forms, take over accounts, and commit payment fraud. We stop them.Founded in 2012 in a Brooklyn sci-fi bookstore, our Bot Mitigation Platform protects enterprises from the sophisticated bots that threaten them. It's an ongoing war that we fight passionately every day. Join our mission to stop bots, disrupt the economics of cyber crime, and keep it human.The Data Science team at White Ops is building the algorithms that run behind the scenes and power our bot detection engine. We deploy state-of-the-art statistical and machine learning models at a massive scale that distinguish human activity from automated bots.What you'll do:Develop algorithms (i.e. rule based, statistical, machine learning) that automatically detect emerging threatsEvaluate and implement data analysis strategies to improve detection efficacy at internet-scaleAd hoc investigations to respond to emerging threats with velocity and qualityCollaborate with product, engineering, customer success, to define and develop new product features that will delight our customersResearch for case studies and white papers on bot detectionContribute to toolkits and platforms that scale detection analyticsWho you are:You have a strong sense of ownership which drives you to find ways to do things better, faster, and cheaperYou look to find new and innovative ways to solve complex problems through rigorous experimentation, all by yourselfYou are open, transparent and work in tight collaboration with anyoneYou constantly drive for correctness and performance, in that orderYou are a data scientist, analyst, engineer and have solved difficult problems to prove itYou have proficiency with SQL, PythonYou have familiarity with tools, libraries and platforms such as Jupyter notebooks, Pandas, NumPy etcTrack record of independent, creative problem solving with large amounts of complex dataKnowledge of how the Internet worksComfort with ad tech terminologyBackground in data science for security is a plusKnowledge of how web browsers work is a plusBenefits and PerksUnlimited vacation policyStock options, 401(k), and commuter benefitsCompetitive salary and benefitsMedical and dental insurance for all full-time employeesFully paid parental leaveProfessional development fundGreat coaching from senior leaders and challenging development opportunitiesLife at White Ops:Our HQ office is located in the heart of New York City. We are growing the company deliberately with a keen eye towards maintaining a culture that values diversity, lifestyle, and career growth. We are doing meaningful work and we need people to join our mighty team. We are proud of our overwhelmingly positive presence on Glassdoor and Built in NYC. We have offices located in NYC, DC, Victoria, and London."
"9","Data Scientist","New York, NY","The New York Times","The New York Times is committed to advancing the world’s most reliable and highest quality journalism through technology. Our ability to do so relies on a talented team of expert technologists who help NYT learn from a tremendous abundance of data unique to this company. The Times seeks a Data Scientist to join the Data Science Group applying machine learning methods to meet this challenge, in close collaboration with working partners across the company.Responsibilities:Reframe newsroom and business objectives as machine learning tasks that can deliver actionable insights, accurate predictions, and effective optimization.Implement and execute machine learning research with reliability and reproducibility.Communicate results and impact to newsroom and business stakeholders.Turn models into data products, collaborate with engineering teams, and integrate into process throughout The Times.Qualifications:Technical :PhD, MS, or 3+ years experience in computer science, applied mathematics, or other quantitative/computational discipline.2+ years experience with open source machine learning or statistical analysis tools. Familiarity with experimental design a plus.2+ years coding experience, Python preferred.Ability to communicate complex ideas in data science to relevant stakeholders.Data engineering experience, including SQL and manipulating large structured or unstructured datasets for analysis.Preferred: experience with building data products, either internal or consumer-facing.Preferred: Experience working with unstructured data and Natural Language ProcessingNon-Technical:Commitment to The Times’ mission of delivering the world’s best and most reliable journalism.Excellent analytical and problem-solving skillsStrong oral and written communication skillsA passion for empirical research and for answering hard questions with data.Proven record of solving challenging problems in academia and/or industry.Eagerness to collaborate with both technical and non-technical colleagues in editorial, product management, marketing, and executive leadership groups.Ability to gauge the complexity of machine learning problems and a willingness to execute simple approaches for quick effective solutions as appropriate.Desire to join the world’s most important journalism company at a moment in history when the importance of learning from our data is transforming every aspect of the craft and practice of journalism.#LI-IG1The New York Times is committed to a diverse and inclusive workforce, one that reflects the varied global community we serve. Our journalism and the products we build in the service of that journalism greatly benefit from a range of perspectives, which can only come from diversity of all types, across our ranks, at all levels of the organization. Achieving true diversity and inclusion is the right thing to do. It is also the smart thing for our business. So we strongly encourage women, veterans, people with disabilities, people of color and gender nonconforming candidates to apply.The New York Times Company is an Equal Opportunity Employer and does not discriminate on the basis of an individual's sex, age, race, color, creed, national origin, alienage, religion, marital status, pregnancy, sexual orientation or affectional preference, gender identity and expression, disability, genetic trait or predisposition, carrier status, citizenship, veteran or military status and other personal characteristics protected by law. All applications will receive consideration for employment without regard to legally protected characteristics. The New York Times Company will consider qualified applicants, including those with criminal histories, in a manner consistent with the requirements of applicable state and local ""Fair Chance"" laws."
"10","Data Scientist","New York, NY","viagogo","viagogo is an industry-leading entertainment marketplace dedicated to helping people attend their favorite live events. We are expecting rapid growth after acquiring Stubhub.Our team of data scientists uses data to automate manual processes and human decisions. This function is crucial to scaling our business across all geographies, languages, and currencies. You'll mine rich data sets and find insights that will drive the decisions that power our platform. Every piece of work you complete will tie directly into a business goal so you can measure the impact you have on viagogo.About You:Love to have an impact, learn from the best, and help people access unforgettable experiencesCurrently pursuing or recently completed a degree in a quantitative field like statistics, mathematics, computer sciences, or engineeringHave familiarity with using tools like Python, SQL, or RInitially, you'll learn:How to present findings and make decisions with a real commercial impactHow to explore and find meaning in extremely high volumes of dataHow we use tools like Python, SQL, and R to analyze, visualize, and present dataHow to optimize coverage and ef<U+FB01>ciency of ad campaigns through search engines and social media platformsBest practices for designing, running, and analyzing feature experiments (A/B tests)What your team's goals are and how to achieve themYour Growth Path:Receive mentorship and a clear path for growing your technical and leadership skillsBe given autonomy to make decisions regarding experiments and testsDemonstrated results and increasing ownership are rewardedWhat we offer:An environment where you can quickly grow your skills, autonomy, and knowledgeA+ Compensation Package, including stock incentivesPaid Time Off, 401k, Health, Vision, and Dental InsuranceDog friendly office, weekly lunches, office snacks, and team eventsAbout Data Science at viagogo:Rather than having a compartmentalized team of data scientists, our data scientists are embedded into cross-functional groups. viagogo's agile teams consist of data scientists, engineers, analysts, and product managers who achieve success through their collaborative culture and entrepreneurial mindset.We are a multicultural, diverse team that values a coactive approach to making data-driven decisions.About viagogo:viagogo is the leading global marketplace for music, sports, and entertainment tickets. We have acquired StubHub and look forward to our continued market leadership.Despite our rapid growth while revolutionizing a 100-billion-dollar industry, we maintain our start-up ethos and data-driven, collaborative culture. We believe that small, cross-functional teams can achieve extraordinary results. Fans from nearly every country in the world can find millions of tickets to their favorite events in the language, currency, and with the device of their choice.We provide the widest possible choice of tickets to events around the world and help ticket sellers reach a global audience. viagogo has partnered with many of the world's leading brands in sports and entertainment while helping fans access unforgettable experiences.We are an equal opportunity employer and value diversity on our team. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
